id,Umur,Kelas Pekerja,Berat Akhir,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Keuntungan Kapital,Kerugian Capital,Jam per Minggu,Gaji
188,50,Wiraswasta,98350,Pendidikan Tinggi,10,Menikah,Pemuka Agama,Laki2,0,0,40,> 6 juta
189,28,Wiraswasta,309620,Pendidikan Tinggi,10,Menikah,Sales,Laki2,0,0,60,<= 6 juta
190,18,Wiraswasta,101173,SMA,9,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0,0,35,<= 6 juta
191,31,Wiraswasta,161765,SMA,9,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0,0,50,<= 6 juta
192,55,Pekerja Bebas Bukan Perusahan,35340,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0,0,50,<= 6 juta
193,27,Wiraswasta,193701,SMA,9,Belum Pernah Menikah,Perbaikan Kerajinan,Perempuan,0,0,45,<= 6 juta
194,49,Wiraswasta,72393,9th,5,Cerai,Mesin Inspeksi,Perempuan,0,0,40,<= 6 juta
195,47,Wiraswasta,67229,11th,7,Cerai,Supir,Perempuan,0,0,40,<= 6 juta
196,45,Wiraswasta,48271,Pendidikan Tinggi,10,Menikah,Pemuka Agama,Perempuan,0,0,40,> 6 juta
197,33,Wiraswasta,157568,SMA,9,Menikah,Mesin Inspeksi,Laki2,0,0,40,<= 6 juta
198,34,Wiraswasta,164190,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0,0,40,<= 6 juta
199,32,Wiraswasta,355700,Sekolah Professional,15,Menikah LDR,Spesialis,Perempuan,1399986000,0,60,> 6 juta
200,43,Wiraswasta,34007,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0,0,40,> 6 juta
201,19,Wiraswasta,194260,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0,0,20,<= 6 juta
202,32,Wiraswasta,53135,SMA,9,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0,0,40,<= 6 juta
203,44,Wiraswasta,199031,Pendidikan Tinggi,10,Cerai,Supir,Laki2,0,19320000,40,<= 6 juta
204,33,Pemerintah Lokal,120508,Sarjana,13,Cerai,Penjaga,Perempuan,0,0,60,<= 6 juta
205,39,Pemerintah Provinsi,206190,SMA,9,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0,0,45,<= 6 juta
206,37,Wiraswasta,117528,SMA,9,Cerai,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
207,17,?,47407,11th,7,Belum Pernah Menikah,?,Laki2,0,0,10,<= 6 juta
208,56,Pemerintah Provinsi,130454,Sarjana,13,Menikah,Spesialis,Laki2,0,0,40,> 6 juta
209,57,Pemerintah Provinsi,310320,Sarjana,13,Menikah,Tech-support,Laki2,0,0,48,> 6 juta
210,36,Wiraswasta,29814,11th,7,Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
211,63,Wiraswasta,214071,10th,6,Menikah,Pembersih,Laki2,0,0,40,<= 6 juta
212,26,Wiraswasta,165235,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
213,42,Wiraswasta,201505,Master,14,Belum Pernah Menikah,Sales,Laki2,0,0,65,<= 6 juta
214,59,Wiraswasta,179594,SMA,9,Menikah,Sales,Laki2,0,0,40,<= 6 juta
215,35,Wiraswasta,374524,Sekolah Professional,15,Menikah,Spesialis,Laki2,0,0,75,> 6 juta
216,20,Wiraswasta,237305,Pendidikan Tinggi,10,Belum Pernah Menikah,Mesin Inspeksi,Perempuan,0,0,35,<= 6 juta
217,42,Wiraswasta,173938,Sarjana,13,Menikah,Servis Lainnya,Laki2,0,0,40,<= 6 juta
218,57,Pemerintah Negara,68830,SMA,9,Cerai,Ekesekutif Managerial,Perempuan,0,0,50,<= 6 juta
219,43,Pemerintah Provinsi,157237,Master,14,Menikah,Spesialis,Laki2,0,0,40,> 6 juta
220,33,Wiraswasta,171889,12th,8,Belum Pernah Menikah,Sales,Perempuan,0,0,35,<= 6 juta
221,45,Pemerintah Lokal,140644,Sarjana,13,Cerai,Penjaga,Laki2,0,0,40,> 6 juta
222,29,Wiraswasta,261725,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,35,<= 6 juta
223,26,Wiraswasta,56929,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0,0,50,<= 6 juta
224,45,Wiraswasta,184441,7th-8th,4,Belum Pernah Menikah,Mesin Inspeksi,Perempuan,0,0,42,<= 6 juta
225,30,Wiraswasta,487330,Pendidikan Tinggi,10,Menikah,Mesin Inspeksi,Laki2,0,0,30,<= 6 juta
226,62,Wiraswasta,223975,7th-8th,4,Menikah,Spesialis,Laki2,0,0,20,<= 6 juta
227,51,Wiraswasta,173987,9th,5,Menikah,Sales,Laki2,0,0,40,<= 6 juta
228,22,Wiraswasta,199426,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0,0,17,<= 6 juta
229,21,Wiraswasta,60552,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
230,31,Wiraswasta,224234,SMA,9,Belum Pernah Menikah,Supir,Laki2,0,0,40,<= 6 juta
231,28,Pemerintah Lokal,136643,Master,14,Belum Pernah Menikah,Spesialis,Perempuan,0,0,50,<= 6 juta
